SKU,Product Code,Product Name,Product description,Quantity On Hand ,Value
PK4009,Bori,Khalli walli,Altaf bhai ki signature bori,27,95
PK2078,Bori,Khalli walli,Altaf bhai ki signature bori,38,25
PK2692,Bori,Khalli walli,Altaf bhai ki signature bori,54,54
PK3100,Bori,Khalli walli,Altaf bhai ki signature bori,44,82
PK2067,Bori,Khalli walli,Altaf bhai ki signature bori,26,81
PK4357,Bori,Khalli walli,Altaf bhai ki signature bori,43,36
PK3105,Bori,Khalli walli,Altaf bhai ki signature bori,58,35
PK2796,Bori,Khalli walli,Altaf bhai ki signature bori,20,28
PK1304,Bori,Khalli walli,Altaf bhai ki signature bori,58,78
PK4623,Bori,Khalli walli,Altaf bhai ki signature bori,55,38
PK3453,Bori,Khalli walli,Altaf bhai ki signature bori,35,67
PK5120,Bori,Khalli walli,Altaf bhai ki signature bori,34,81
PK2331,Bori,Khalli walli,Altaf bhai ki signature bori,46,90
PK4877,Bori,Khalli walli,Altaf bhai ki signature bori,45,92
PK4665,Bori,Khalli walli,Altaf bhai ki signature bori,55,86
PK4650,Bori,Khalli walli,Altaf bhai ki signature bori,21,34
PK2961,Bori,Khalli walli,Altaf bhai ki signature bori,20,83
PK3967,Bori,Khalli walli,Altaf bhai ki signature bori,55,67
PK5128,Bori,Khalli walli,Altaf bhai ki signature bori,50,55
PK3685,Bori,Khalli walli,Altaf bhai ki signature bori,60,49
PK2024,Bori,Khalli walli,Altaf bhai ki signature bori,39,49
PK2716,Bori,Khalli walli,Altaf bhai ki signature bori,59,79
PK3212,Bori,Khalli walli,Altaf bhai ki signature bori,32,90
PK2255,Bori,Khalli walli,Altaf bhai ki signature bori,41,81
PK5213,Bori,Khalli walli,Altaf bhai ki signature bori,27,72
PK2402,Bori,Khalli walli,Altaf bhai ki signature bori,53,44
PK2604,Bori,Khalli walli,Altaf bhai ki signature bori,22,62
PK1458,Bori,Khalli walli,Altaf bhai ki signature bori,40,84
PK1656,Bori,Khalli walli,Altaf bhai ki signature bori,51,65
PK5524,Bori,Khalli walli,Altaf bhai ki signature bori,35,39
PK5306,Bori,Khalli walli,Altaf bhai ki signature bori,33,94
PK2519,Bori,Khalli walli,Altaf bhai ki signature bori,27,98
PK3755,Bori,Khalli walli,Altaf bhai ki signature bori,54,64
PK3590,Bori,Khalli walli,Altaf bhai ki signature bori,56,71
PK3056,Bori,Khalli walli,Altaf bhai ki signature bori,36,96
PK4665,Bori,Khalli walli,Altaf bhai ki signature bori,28,99
PK5405,Bori,Khalli walli,Altaf bhai ki signature bori,59,21
PK3641,Bori,Khalli walli,Altaf bhai ki signature bori,29,97
PK5495,Bori,Khalli walli,Altaf bhai ki signature bori,21,43
PK4919,Bori,Khalli walli,Altaf bhai ki signature bori,43,20
PK3507,Bori,Khalli walli,Altaf bhai ki signature bori,32,58
PK1893,Bori,Khalli walli,Altaf bhai ki signature bori,58,63
PK1254,Bori,Khalli walli,Altaf bhai ki signature bori,35,54
PK2709,Bori,Khalli walli,Altaf bhai ki signature bori,48,87
PK2429,Bori,Khalli walli,Altaf bhai ki signature bori,50,97
PK2191,Bori,Khalli walli,Altaf bhai ki signature bori,55,95
PK1823,Bori,Khalli walli,Altaf bhai ki signature bori,49,23
PK1380,Bori,Khalli walli,Altaf bhai ki signature bori,56,57
PK5093,Bori,Khalli walli,Altaf bhai ki signature bori,41,44
PK3950,Bori,Khalli walli,Altaf bhai ki signature bori,59,45
PK5073,Bori,Khalli walli,Altaf bhai ki signature bori,58,48
PK3071,Bori,Khalli walli,Altaf bhai ki signature bori,29,25
PK5006,Bori,Khalli walli,Altaf bhai ki signature bori,54,55
PK2336,Bori,Khalli walli,Altaf bhai ki signature bori,54,76
PK1248,Bori,Khalli walli,Altaf bhai ki signature bori,46,38
PK4950,Bori,Khalli walli,Altaf bhai ki signature bori,29,89
PK2603,Bori,Khalli walli,Altaf bhai ki signature bori,39,81
PK1623,Bori,Khalli walli,Altaf bhai ki signature bori,49,42
PK2187,Bori,Khalli walli,Altaf bhai ki signature bori,28,83
PK2209,Bori,Khalli walli,Altaf bhai ki signature bori,26,61
PK2294,Bori,Khalli walli,Altaf bhai ki signature bori,43,86
PK4205,Bori,Khalli walli,Altaf bhai ki signature bori,37,94
PK5059,Bori,Khalli walli,Altaf bhai ki signature bori,49,61
PK1425,Bori,Khalli walli,Altaf bhai ki signature bori,55,93
